gene_symbol,allele_symbol,zygosity,phenotyping_center,count
Tmem184b,Tmem184b<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Tmem30a,Tmem30a<tm1a(KOMP)Wtsi>,heterozygote,WTSI,5
Tmem86a,Tmem86a<tm1b(KOMP)Mbp>,homozygote,KMPC,4
Tmem88,Tmem88<em1(IMPC)Kmpc>,homozygote,KMPC,4
Tmtc2,Tmtc2<em2(IMPC)Kmpc>,homozygote,KMPC,4
Tor1a,Tor1a<em1(IMPC)H>,heterozygote,MRC Harwell,4
Tor1aip1,Tor1aip1<tm1b(EUCOMM)Hmgu>,heterozygote,MRC Harwell,4
Tprg1,Tprg1<em1(IMPC)Mbp>,homozygote,UC Davis,4
Tpte,Tpte<em1(IMPC)Kmpc>,homozygote,KMPC,4
Tram2,Tram2<tm1a(KOMP)Wtsi>,homozygote,WTSI,8
Trappc1,Trappc1<em1(IMPC)Mbp>,heterozygote,UC Davis,4
Trav1,Trav1<em1(IMPC)J>,homozygote,JAX,7
Treml1,Treml1<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Trh,Trh<em1(IMPC)Tcp>,homozygote,TCP,4
Trmt9b,Trmt9b<em1(IMPC)H>,homozygote,MRC Harwell,4
Tspan14,Tspan14<em1(IMPC)H>,heterozygote,MRC Harwell,3
Tst,Tst<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,4
Tstd1,Tstd1<em1(IMPC)J>,homozygote,JAX,7
Ttc38,Ttc38<em1Llp>,homozygote,JAX,8
Ttc7b,Ttc7b<em1(IMPC)J>,heterozygote,JAX,7
Tubb4b,Tubb4b<em1(IMPC)J>,heterozygote,JAX,4
Ube3c,Ube3c<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,8
Ufc1,Ufc1<em1(IMPC)Marc>,heterozygote,MARC,4
Unc13b,Unc13b<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,4
Unc13c,Unc13c<em1(IMPC)H>,homozygote,MRC Harwell,4
Usp16,Usp16<tm1b(EUCOMM)Hmgu>,heterozygote,MARC,5
Usp29,Usp29<em1(IMPC)Tcp>,homozygote,TCP,4
Usp31,Usp31<em1(IMPC)Marc>,homozygote,MARC,4
Usp36,Usp36<tm1b(EUCOMM)Hmgu>,heterozygote,MARC,4
Vegfb,Vegfb<tm1b(EUCOMM)Hmgu>,homozygote,JAX,8
Vopp1,Vopp1<tm1b(EUCOMM)Wtsi>,homozygote,JAX,7
Vps13c,Vps13c<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,5
Vstm2l,Vstm2l<em1(IMPC)Tcp>,homozygote,TCP,4
Washc3,Washc3<tm1.1(KOMP)Vlcg>,heterozygote,TCP,4
Wfdc2,Wfdc2<em1(IMPC)H>,heterozygote,MRC Harwell,4
Xbp1,Xbp1<tm1b(EUCOMM)Wtsi>,heterozygote,MRC Harwell,4
Zc3h13,Zc3h13<em1(IMPC)J>,heterozygote,JAX,8
Zdhhc24,Zdhhc24<tm1b(EUCOMM)Hmgu>,homozygote,MRC Harwell,4
Zfp280d,Zfp280d<em1(IMPC)Hmgu>,homozygote,HMGU,8
Zfp354a,Zfp354a<em1(IMPC)Mbp>,homozygote,UC Davis,4
Zgrf1,Zgrf1<em1(IMPC)J>,homozygote,JAX,8
Zswim1,Zswim1<tm1b(KOMP)Mbp>,homozygote,MARC,4
Zswim6,Zswim6<em1(IMPC)J>,heterozygote,JAX,8
