gene_symbol,allele_symbol,zygosity,center,all_bayes_factor,all_p_hearing_loss,all_hdi_lower,all_hdi_upper,all_n_mutants,all_n_controls,all_analysis_key,all_effect_6kHz-evoked,all_effect_12kHz-evoked,all_effect_18kHz-evoked,all_effect_24kHz-evoked,all_effect_30kHz-evoked,male_bayes_factor,male_p_hearing_loss,male_hdi_lower,male_hdi_upper,male_n_mutants,male_n_controls,male_analysis_key,male_effect_6kHz-evoked,male_effect_12kHz-evoked,male_effect_18kHz-evoked,male_effect_24kHz-evoked,male_effect_30kHz-evoked,female_bayes_factor,female_p_hearing_loss,female_hdi_lower,female_hdi_upper,female_n_mutants,female_n_controls,female_analysis_key,female_effect_6kHz-evoked,female_effect_12kHz-evoked,female_effect_18kHz-evoked,female_effect_24kHz-evoked,female_effect_30kHz-evoked
Mlec,Mlec<tm1a(EUCOMM)Wtsi>,homozygote,WTSI,0.0071761299257207,0.125,0.0,0.33,4.0,904.0,Mlec_Mlec<tm1a(EUCOMM)Wtsi>_homozygote_WTSI,19.956,19.978,20.016,19.986,20.0,0.0153572788424927,0.143,0.0,0.376,3.0,453.0,Mlec_Mlec<tm1a(EUCOMM)Wtsi>_homozygote_WTSI_male,20.003,20.052,19.991,19.956,20.033,,,,,,,,,,,,
Pip,Pip<em1(IMPC)Mbp>,homozygote,UC Davis,0.0057832537088257,0.124,0.0,0.323,4.0,569.0,Pip_Pip<em1(IMPC)Mbp>_homozygote_UC Davis,19.957,19.973,20.035,19.988,20.066,,,,,,,,,,,,,,,,,,,,,,,,
Xkrx,Xkrx<tm1b(EUCOMM)Wtsi>,hemizygote,WTSI,0.0081915563957151,0.127,0.0,0.341,4.0,904.0,Xkrx_Xkrx<tm1b(EUCOMM)Wtsi>_hemizygote_WTSI,19.993,19.953,20.063,19.984,20.001,0.0083186286866649,0.126,0.0,0.334,4.0,453.0,Xkrx_Xkrx<tm1b(EUCOMM)Wtsi>_hemizygote_WTSI_male,20.019,20.02,20.076,19.945,20.005,,,,,,,,,,,,
Asap1,Asap1<em1(IMPC)Wtsi>,homozygote,HMGU,0.0030090270812437,0.105,0.0,0.281,6.0,1804.0,Asap1_Asap1<em1(IMPC)Wtsi>_homozygote_HMGU,20.048,19.715,19.761,19.764,19.853,,,,,,,,,,,,,0.0102285642126531,0.131,0.0,0.346,4.0,884.0,Asap1_Asap1<em1(IMPC)Wtsi>_homozygote_HMGU_female,20.073,19.795,19.772,19.804,19.816
Asap1,Asap1<em1(IMPC)Wtsi>,heterozygote,HMGU,0.0002500625156289,0.083,0.0,0.216,8.0,1804.0,Asap1_Asap1<em1(IMPC)Wtsi>_heterozygote_HMGU,20.009,19.966,20.047,19.996,19.976,0.0089544709294993,0.125,0.0,0.345,4.0,920.0,Asap1_Asap1<em1(IMPC)Wtsi>_heterozygote_HMGU_male,20.034,19.937,20.071,19.925,20.027,0.006669183339625,0.124,0.0,0.323,4.0,884.0,Asap1_Asap1<em1(IMPC)Wtsi>_heterozygote_HMGU_female,19.994,20.081,20.033,20.032,19.915
Mgst1,Mgst1<em1(IMPC)J>,homozygote,JAX,0.001001001001001,0.083,0.0,0.22,8.0,2541.0,Mgst1_Mgst1<em1(IMPC)J>_homozygote_JAX,20.013,20.001,20.07,19.981,20.039,0.0103561505430664,0.126,0.0,0.335,4.0,1264.0,Mgst1_Mgst1<em1(IMPC)J>_homozygote_JAX_male,19.972,20.107,19.989,19.96,19.929,0.0093363613424173,0.126,0.0,0.333,4.0,1277.0,Mgst1_Mgst1<em1(IMPC)J>_homozygote_JAX_female,19.953,19.981,20.031,20.061,19.955
Zfp513,Zfp513<em1(IMPC)J>,homozygote,JAX,0.0061627468242988,0.169,0.011,0.362,8.0,2541.0,Zfp513_Zfp513<em1(IMPC)J>_homozygote_JAX,18.719,21.152,19.885,17.838,17.581,0.0081915563957151,0.125,0.0,0.328,4.0,1264.0,Zfp513_Zfp513<em1(IMPC)J>_homozygote_JAX_male,19.925,19.973,19.99,19.99,19.986,0.0718113612004287,0.253,0.024,0.523,4.0,1277.0,Zfp513_Zfp513<em1(IMPC)J>_homozygote_JAX_female,18.883,21.155,19.796,17.707,17.526
Glyat,Glyat<tm1b(EUCOMM)Hmgu>,homozygote,KMPC,0.0139416983523447,0.141,0.0,0.369,3.0,340.0,Glyat_Glyat<tm1b(EUCOMM)Hmgu>_homozygote_KMPC,20.015,19.996,19.999,20.012,20.01,,,,,,,,,,,,,,,,,,,,,,,,
Ttll10,Ttll10<em1(IMPC)J>,homozygote,JAX,0.0008757662955085,0.084,0.0,0.227,8.0,2541.0,Ttll10_Ttll10<em1(IMPC)J>_homozygote_JAX,19.979,20.034,20.012,20.028,20.065,0.0080645161290322,0.127,0.0,0.336,4.0,1264.0,Ttll10_Ttll10<em1(IMPC)J>_homozygote_JAX_male,19.969,20.086,20.026,19.982,19.962,0.0075566750629722,0.124,0.0,0.325,4.0,1277.0,Ttll10_Ttll10<em1(IMPC)J>_homozygote_JAX_female,19.984,20.013,19.981,19.953,20.046
Nadk2,Nadk2<em1(IMPC)J>,heterozygote,JAX,0.0012515644555694,0.091,0.0,0.249,7.0,2541.0,Nadk2_Nadk2<em1(IMPC)J>_heterozygote_JAX,19.984,20.015,19.935,20.032,19.947,0.013813204916994,0.142,0.0,0.375,3.0,1264.0,Nadk2_Nadk2<em1(IMPC)J>_heterozygote_JAX_male,19.977,19.96,20.005,20.026,20.034,0.0099734881959348,0.127,0.0,0.34,4.0,1277.0,Nadk2_Nadk2<em1(IMPC)J>_heterozygote_JAX_female,20.006,20.006,19.996,20.013,19.998
Nadk2,Nadk2<tm1b(EUCOMM)Wtsi>,heterozygote,WTSI,0.0002500625156289,0.083,0.0,0.228,8.0,904.0,Nadk2_Nadk2<tm1b(EUCOMM)Wtsi>_heterozygote_WTSI,19.898,19.988,19.995,19.984,19.984,0.0037641154328732,0.111,0.0,0.288,5.0,453.0,Nadk2_Nadk2<tm1b(EUCOMM)Wtsi>_heterozygote_WTSI_male,19.909,20.005,20.043,20.009,20.032,0.018978474079735,0.144,0.0,0.381,3.0,451.0,Nadk2_Nadk2<tm1b(EUCOMM)Wtsi>_heterozygote_WTSI_female,20.035,20.044,20.036,19.94,20.016
Kpna4,Kpna4<em1(IMPC)J>,homozygote,JAX,0.0008757662955085,0.084,0.0,0.228,8.0,2541.0,Kpna4_Kpna4<em1(IMPC)J>_homozygote_JAX,20.071,20.05,19.952,19.996,20.039,0.0092090324208401,0.126,0.0,0.342,4.0,1264.0,Kpna4_Kpna4<em1(IMPC)J>_homozygote_JAX_male,19.987,20.01,20.024,19.962,19.998,0.0081915563957151,0.124,0.0,0.335,4.0,1277.0,Kpna4_Kpna4<em1(IMPC)J>_homozygote_JAX_female,20.018,20.0,20.008,19.974,20.016
Denr,Denr<tm1b(KOMP)Wtsi>,heterozygote,WTSI,0.0080645161290322,0.126,0.0,0.33,4.0,904.0,Denr_Denr<tm1b(KOMP)Wtsi>_heterozygote_WTSI,20.047,19.961,19.955,19.987,19.95,,,,,,,,,,,,,0.0087000378262514,0.127,0.0,0.338,4.0,451.0,Denr_Denr<tm1b(KOMP)Wtsi>_heterozygote_WTSI_female,19.983,20.028,19.975,20.036,19.959
Mta1,Mta1<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,0.0,0.066,0.0,0.184,11.0,2953.0,Mta1_Mta1<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG,20.045,19.899,19.985,19.996,19.961,0.002004008016032,0.101,0.0,0.267,6.0,1480.0,Mta1_Mta1<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_male,19.945,20.006,19.976,19.975,20.038,0.0040160642570281,0.111,0.0,0.292,5.0,1473.0,Mta1_Mta1<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_female,20.017,20.01,20.035,20.023,20.046
Syde1,Syde1<tm1b(EUCOMM)Hmgu>,heterozygote,HMGU,0.0491803278688524,0.182,0.0,0.475,8.0,1804.0,Syde1_Syde1<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU,18.217,15.863,17.537,17.347,17.822,0.1762976032936332,0.274,0.0,0.616,4.0,920.0,Syde1_Syde1<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU_male,17.67,14.756,16.603,18.342,18.33,0.014455997971088,0.139,0.0,0.362,4.0,884.0,Syde1_Syde1<tm1b(EUCOMM)Hmgu>_heterozygote_HMGU_female,19.844,19.553,19.825,19.505,19.623
Syde1,Syde1<tm1b(EUCOMM)Hmgu>,homozygote,HMGU,0.0,0.061,0.0,0.169,13.0,1804.0,Syde1_Syde1<tm1b(EUCOMM)Hmgu>_homozygote_HMGU,19.936,19.834,19.807,19.871,19.956,0.0015022533800701,0.1,0.0,0.265,6.0,920.0,Syde1_Syde1<tm1b(EUCOMM)Hmgu>_homozygote_HMGU_male,20.07,19.979,20.002,20.028,20.007,0.0018785222291797,0.092,0.0,0.245,7.0,884.0,Syde1_Syde1<tm1b(EUCOMM)Hmgu>_homozygote_HMGU_female,19.955,19.91,19.967,19.871,20.03
Tmem47,Tmem47<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0003751406777541,0.083,0.0,0.226,8.0,2953.0,Tmem47_Tmem47<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,19.991,20.025,19.979,19.962,19.993,,,,,,,,,,,,,0.0008757662955085,0.083,0.0,0.226,8.0,1473.0,Tmem47_Tmem47<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,19.973,20.034,19.946,20.076,20.033
Tmem47,Tmem47<em1(IMPC)Ccpcz>,hemizygote,CCP-IMG,0.0021295252411374,0.1,0.0,0.273,6.0,2953.0,Tmem47_Tmem47<em1(IMPC)Ccpcz>_hemizygote_CCP-IMG,20.031,19.933,20.01,20.015,19.957,0.0026319087604963,0.1,0.0,0.264,6.0,1480.0,Tmem47_Tmem47<em1(IMPC)Ccpcz>_hemizygote_CCP-IMG_male,20.021,20.04,20.049,19.97,20.02,,,,,,,,,,,,
Pwwp2b,Pwwp2b<em1(IMPC)J>,homozygote,JAX,0.0007505629221916,0.089,0.0,0.24,8.0,2541.0,Pwwp2b_Pwwp2b<em1(IMPC)J>_homozygote_JAX,19.822,19.82,19.908,19.743,19.889,0.0075566750629722,0.125,0.0,0.336,4.0,1264.0,Pwwp2b_Pwwp2b<em1(IMPC)J>_homozygote_JAX_male,20.006,20.054,19.967,20.038,20.007,0.0166476045240818,0.139,0.0,0.368,4.0,1277.0,Pwwp2b_Pwwp2b<em1(IMPC)J>_homozygote_JAX_female,19.707,19.701,19.822,19.527,19.576
Nampt,Nampt<tm1.1(KOMP)Vlcg>,heterozygote,UC Davis,0.0081915563957151,0.124,0.0,0.324,4.0,569.0,Nampt_Nampt<tm1.1(KOMP)Vlcg>_heterozygote_UC Davis,19.961,19.922,19.926,19.947,20.022,,,,,,,,,,,,,,,,,,,,,,,,
Dmtf1l,Dmtf1l<em1(IMPC)J>,hemizygote,JAX,0.0758472296933835,0.254,0.019,0.525,4.0,2541.0,Dmtf1l_Dmtf1l<em1(IMPC)J>_hemizygote_JAX,14.742,13.884,25.663,20.166,16.377,0.0703773080010703,0.255,0.017,0.514,4.0,1264.0,Dmtf1l_Dmtf1l<em1(IMPC)J>_hemizygote_JAX_male,14.585,14.06,25.614,20.171,16.495,,,,,,,,,,,,
Dmtf1l,Dmtf1l<em1(IMPC)J>,homozygote,JAX,0.0597430123195125,0.248,0.013,0.5,4.0,2541.0,Dmtf1l_Dmtf1l<em1(IMPC)J>_homozygote_JAX,18.74,18.254,18.491,19.098,19.995,,,,,,,,,,,,,0.0615711252653927,0.249,0.02,0.509,4.0,1277.0,Dmtf1l_Dmtf1l<em1(IMPC)J>_homozygote_JAX_female,18.972,18.237,18.423,18.889,19.844
Ube2e1,Ube2e1<em1(IMPC)Marc>,homozygote,MARC,0.0075566750629722,0.124,0.0,0.33,4.0,147.0,Ube2e1_Ube2e1<em1(IMPC)Marc>_homozygote_MARC,20.014,20.046,19.989,20.025,19.986,,,,,,,,,,,,,,,,,,,,,,,,
Rfc1,Rfc1<tm1b(KOMP)Mbp>,heterozygote,JAX,0.0005002501250625,0.083,0.0,0.221,8.0,2541.0,Rfc1_Rfc1<tm1b(KOMP)Mbp>_heterozygote_JAX,19.956,20.087,20.012,19.957,19.957,0.0092090324208401,0.125,0.0,0.335,4.0,1264.0,Rfc1_Rfc1<tm1b(KOMP)Mbp>_heterozygote_JAX_male,20.019,20.019,19.991,20.007,19.996,0.0076835873535709,0.125,0.0,0.327,4.0,1277.0,Rfc1_Rfc1<tm1b(KOMP)Mbp>_heterozygote_JAX_female,20.008,20.022,20.02,20.021,20.038
Jam2,Jam2<tm1.1(KOMP)Mbp>,homozygote,JAX,0.0011262670504317,0.087,0.0,0.235,8.0,2541.0,Jam2_Jam2<tm1.1(KOMP)Mbp>_homozygote_JAX,19.765,19.879,19.877,20.013,19.84,0.0112501580078371,0.134,0.0,0.351,4.0,1264.0,Jam2_Jam2<tm1.1(KOMP)Mbp>_homozygote_JAX_male,19.632,19.775,19.816,19.986,19.691,0.0075566750629722,0.125,0.0,0.33,4.0,1277.0,Jam2_Jam2<tm1.1(KOMP)Mbp>_homozygote_JAX_female,19.997,20.013,19.994,19.99,20.047
Herpud2,Herpud2<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,0.0149708195889368,0.133,0.0,0.358,4.0,569.0,Herpud2_Herpud2<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,19.785,19.714,19.589,19.87,19.912,,,,,,,,,,,,,,,,,,,,,,,,
Lamp3,Lamp3<em1(IMPC)Tcp>,homozygote,TCP,0.0070493454179254,0.124,0.0,0.331,4.0,588.0,Lamp3_Lamp3<em1(IMPC)Tcp>_homozygote_TCP,20.007,20.002,20.03,20.022,20.144,,,,,,,,,,,,,,,,,,,,,,,,
Col9a2,Col9a2<tm1b(EUCOMM)Wtsi>,homozygote,MRC Harwell,3.5792787635947336,0.626,0.333,0.918,4.0,858.0,Col9a2_Col9a2<tm1b(EUCOMM)Wtsi>_homozygote_MRC Harwell,28.45,25.325,26.941,32.141,26.851,,,,,,,,,,,,,,,,,,,,,,,,
Fam20a,Fam20a<tm1b(KOMP)Wtsi>,homozygote,UC Davis,0.006669183339625,0.124,0.0,0.331,4.0,569.0,Fam20a_Fam20a<tm1b(KOMP)Wtsi>_homozygote_UC Davis,20.053,19.96,20.039,19.961,20.018,,,,,,,,,,,,,,,,,,,,,,,,
Ppia,Ppia<em1(IMPC)Mbp>,homozygote,UC Davis,0.3052700277369881,0.377,0.079,0.667,4.0,569.0,Ppia_Ppia<em1(IMPC)Mbp>_homozygote_UC Davis,15.125,13.273,13.567,24.827,27.926,,,,,,,,,,,,,,,,,,,,,,,,
Sugt1,Sugt1<tm1b(KOMP)Wtsi>,heterozygote,UC Davis,1.019691996970462,0.503,0.199,0.818,4.0,569.0,Sugt1_Sugt1<tm1b(KOMP)Wtsi>_heterozygote_UC Davis,17.154,17.058,17.776,17.048,21.953,,,,,,,,,,,,,,,,,,,,,,,,
Gnl2,Gnl2<em1(IMPC)Ccpcz>,heterozygote,CCP-IMG,0.0,0.053,0.0,0.144,15.0,2953.0,Gnl2_Gnl2<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG,19.928,19.974,20.006,19.895,19.985,0.0016276449229998,0.092,0.0,0.249,7.0,1480.0,Gnl2_Gnl2<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_male,19.99,19.99,20.016,20.002,19.966,0.0002500625156289,0.085,0.0,0.232,8.0,1473.0,Gnl2_Gnl2<em1(IMPC)Ccpcz>_heterozygote_CCP-IMG_female,19.864,19.91,19.957,19.976,20.006
Htr1f,Htr1f<tm1.1(KOMP)Vlcg>,homozygote,JAX,0.0001250156269533,0.078,0.0,0.209,9.0,2541.0,Htr1f_Htr1f<tm1.1(KOMP)Vlcg>_homozygote_JAX,19.986,19.98,20.042,19.987,20.014,0.0037641154328732,0.111,0.0,0.3,5.0,1264.0,Htr1f_Htr1f<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,19.928,20.002,20.048,19.993,19.884,0.0070493454179254,0.126,0.0,0.338,4.0,1277.0,Htr1f_Htr1f<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,19.992,20.033,19.999,20.048,20.039
Lhcgr,Lhcgr<tm1(KOMP)Vlcg>,homozygote,MARC,0.1871197507048523,0.301,0.002,0.637,4.0,147.0,Lhcgr_Lhcgr<tm1(KOMP)Vlcg>_homozygote_MARC,14.732,16.287,18.531,14.533,22.677,,,,,,,,,,,,,,,,,,,,,,,,
Plcz1,Plcz1<em1(IMPC)H>,homozygote,MRC Harwell,0.8823529411764706,0.485,0.167,0.798,4.0,323.0,Plcz1_Plcz1<em1(IMPC)H>_homozygote_MRC Harwell,16.722,17.18,20.045,19.933,20.484,,,,,,,,,,,,,,,,,,,,,,,,
Il20,Il20<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,0.0062893081761006,0.125,0.0,0.327,4.0,569.0,Il20_Il20<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,20.01,19.955,19.984,20.046,19.997,,,,,,,,,,,,,,,,,,,,,,,,
Il20,Il20<em1(IMPC)Mbp>,homozygote,UC Davis,0.0065425264217413,0.125,0.0,0.325,4.0,569.0,Il20_Il20<em1(IMPC)Mbp>_homozygote_UC Davis,20.037,19.998,19.978,20.007,19.953,,,,,,,,,,,,,,,,,,,,,,,,
Msh5,Msh5<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,0.0001250156269533,0.084,0.0,0.229,8.0,755.0,Msh5_Msh5<tm1b(EUCOMM)Wtsi>_homozygote_HMGU,20.027,20.001,19.989,19.99,20.047,0.0073029463611181,0.125,0.0,0.324,4.0,392.0,Msh5_Msh5<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_male,19.938,20.11,20.049,20.0,20.078,0.0097185409567083,0.127,0.0,0.341,4.0,363.0,Msh5_Msh5<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_female,19.929,19.92,19.985,20.017,19.927
Agpat5,Agpat5<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0,0.051,0.0,0.141,16.0,2953.0,Agpat5_Agpat5<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,19.968,20.023,19.95,20.02,20.0,0.0003751406777541,0.082,0.0,0.222,8.0,1480.0,Agpat5_Agpat5<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,19.948,19.947,19.983,20.02,20.039,0.0007505629221916,0.083,0.0,0.223,8.0,1473.0,Agpat5_Agpat5<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,19.977,19.952,19.997,20.007,20.022
Rnf168,Rnf168<tm2b(EUCOMM)Hmgu>,homozygote,CCP-IMG,0.0003751406777541,0.111,0.004,0.239,14.0,2953.0,Rnf168_Rnf168<tm2b(EUCOMM)Hmgu>_homozygote_CCP-IMG,28.606,25.379,25.887,19.151,18.675,0.0016276449229998,0.092,0.0,0.247,7.0,1480.0,Rnf168_Rnf168<tm2b(EUCOMM)Hmgu>_homozygote_CCP-IMG_male,20.039,20.084,19.951,20.007,20.051,0.0135563157227923,0.182,0.009,0.39,7.0,1473.0,Rnf168_Rnf168<tm2b(EUCOMM)Hmgu>_homozygote_CCP-IMG_female,29.176,25.712,26.261,18.963,18.595
Fam120b,Fam120b<tm1b(EUCOMM)Hmgu>,heterozygote,JAX,0.0001250156269533,0.073,0.0,0.201,10.0,2541.0,Fam120b_Fam120b<tm1b(EUCOMM)Hmgu>_heterozygote_JAX,20.022,19.987,19.985,19.905,19.904,0.002004008016032,0.101,0.0,0.272,6.0,1264.0,Fam120b_Fam120b<tm1b(EUCOMM)Hmgu>_heterozygote_JAX_male,20.002,19.967,19.948,20.003,19.923,0.0062893081761006,0.125,0.0,0.333,4.0,1277.0,Fam120b_Fam120b<tm1b(EUCOMM)Hmgu>_heterozygote_JAX_female,20.019,20.067,20.041,19.991,20.046
Thbs1,Thbs1<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,0.0432968179447052,0.165,0.0,0.451,4.0,569.0,Thbs1_Thbs1<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,19.198,19.004,19.091,19.371,19.418,,,,,,,,,,,,,,,,,,,,,,,,
Lancl1,Lancl1<em1(IMPC)Mbp>,homozygote,UC Davis,0.0083186286866649,0.125,0.0,0.334,4.0,569.0,Lancl1_Lancl1<em1(IMPC)Mbp>_homozygote_UC Davis,20.03,20.021,19.996,19.921,20.011,,,,,,,,,,,,,,,,,,,,,,,,
Endou,Endou<tm1(KOMP)Vlcg>,homozygote,WTSI,0.0094637223974763,0.124,0.0,0.329,4.0,904.0,Endou_Endou<tm1(KOMP)Vlcg>_homozygote_WTSI,19.951,19.946,19.991,20.036,20.002,0.0183299389002036,0.144,0.0,0.381,3.0,453.0,Endou_Endou<tm1(KOMP)Vlcg>_homozygote_WTSI_male,19.934,19.966,20.078,20.056,20.027,,,,,,,,,,,,
Endou,Endou<tm1.1(KOMP)Vlcg>,homozygote,UC Davis,0.0083186286866649,0.125,0.0,0.334,4.0,569.0,Endou_Endou<tm1.1(KOMP)Vlcg>_homozygote_UC Davis,19.967,20.004,19.952,19.983,20.01,,,,,,,,,,,,,,,,,,,,,,,,
C1qc,C1qc<em1(IMPC)J>,homozygote,JAX,0.0006253908692933,0.094,0.0,0.251,7.0,2541.0,C1qc_C1qc<em1(IMPC)J>_homozygote_JAX,19.785,19.809,19.971,19.959,19.935,0.0166476045240818,0.142,0.0,0.377,3.0,1264.0,C1qc_C1qc<em1(IMPC)J>_homozygote_JAX_male,20.036,19.961,20.006,19.984,19.984,0.0095911155981827,0.129,0.0,0.34,4.0,1277.0,C1qc_C1qc<em1(IMPC)J>_homozygote_JAX_female,19.773,19.794,19.916,20.033,19.951
St8sia6,St8sia6<em1(IMPC)Mbp>,homozygote,UC Davis,0.0223642172523961,0.157,0.0,0.402,4.0,569.0,St8sia6_St8sia6<em1(IMPC)Mbp>_homozygote_UC Davis,18.772,19.819,19.554,19.146,19.355,,,,,,,,,,,,,,,,,,,,,,,,
Gzmb,Gzmb<em1(IMPC)Ccpcz>,homozygote,CCP-IMG,0.0,0.052,0.0,0.144,15.0,2953.0,Gzmb_Gzmb<em1(IMPC)Ccpcz>_homozygote_CCP-IMG,19.983,19.926,19.925,20.006,20.001,0.0002500625156289,0.084,0.0,0.23,8.0,1480.0,Gzmb_Gzmb<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_male,19.981,20.04,19.963,19.978,20.021,0.001001001001001,0.091,0.0,0.252,7.0,1473.0,Gzmb_Gzmb<em1(IMPC)Ccpcz>_homozygote_CCP-IMG_female,20.054,19.991,20.035,19.946,20.059
Keg1,Keg1<tm1b(KOMP)Mbp>,homozygote,JAX,0.0001250156269533,0.085,0.0,0.236,8.0,2541.0,Keg1_Keg1<tm1b(KOMP)Mbp>_homozygote_JAX,19.91,20.012,19.944,19.985,19.946,0.0101010101010101,0.128,0.0,0.335,4.0,1264.0,Keg1_Keg1<tm1b(KOMP)Mbp>_homozygote_JAX_male,19.823,19.885,19.916,19.857,19.941,0.0081915563957151,0.126,0.0,0.335,4.0,1277.0,Keg1_Keg1<tm1b(KOMP)Mbp>_homozygote_JAX_female,20.012,19.969,20.013,19.98,19.958
Ppp2r2d,Ppp2r2d<em1(IMPC)Mbp>,homozygote,UC Davis,0.0064159013712416,0.124,0.0,0.329,4.0,569.0,Ppp2r2d_Ppp2r2d<em1(IMPC)Mbp>_homozygote_UC Davis,20.037,20.031,19.91,19.957,19.959,,,,,,,,,,,,,,,,,,,,,,,,
Pdp2,Pdp2<em1(IMPC)J>,homozygote,JAX,0.006669183339625,0.166,0.006,0.35,8.0,2541.0,Pdp2_Pdp2<em1(IMPC)J>_homozygote_JAX,20.737,19.7,21.396,17.895,19.99,0.0746910263299301,0.252,0.02,0.524,4.0,1264.0,Pdp2_Pdp2<em1(IMPC)J>_homozygote_JAX_male,20.463,19.647,21.418,18.026,19.983,0.0073029463611181,0.126,0.0,0.329,4.0,1277.0,Pdp2_Pdp2<em1(IMPC)J>_homozygote_JAX_female,20.06,20.074,20.004,19.948,19.963
Tmem8b,Tmem8b<em1(IMPC)Tcp>,heterozygote,TCP,0.0075566750629722,0.125,0.0,0.334,4.0,588.0,Tmem8b_Tmem8b<em1(IMPC)Tcp>_heterozygote_TCP,19.97,20.05,20.009,19.973,19.943,,,,,,,,,,,,,,,,,,,,,,,,
Tmem8b,Tmem8b<em1(IMPC)Tcp>,homozygote,TCP,0.0079375078745117,0.124,0.0,0.332,4.0,588.0,Tmem8b_Tmem8b<em1(IMPC)Tcp>_homozygote_TCP,20.02,20.027,19.978,20.012,20.0,,,,,,,,,,,,,,,,,,,,,,,,
Cd33,Cd33<tm1.1(KOMP)Vlcg>,homozygote,JAX,0.0016276449229998,0.1,0.0,0.266,6.0,2541.0,Cd33_Cd33<tm1.1(KOMP)Vlcg>_homozygote_JAX,20.035,19.898,20.027,20.034,19.963,0.0167768174885612,0.147,0.0,0.385,3.0,1264.0,Cd33_Cd33<tm1.1(KOMP)Vlcg>_homozygote_JAX_male,19.903,19.987,19.938,19.94,19.986,0.016002032004064,0.143,0.0,0.377,3.0,1277.0,Cd33_Cd33<tm1.1(KOMP)Vlcg>_homozygote_JAX_female,20.058,19.96,20.006,20.066,20.02
Ccdc59,Ccdc59<em1(IMPC)J>,heterozygote,JAX,0.0003751406777541,0.084,0.0,0.229,8.0,2541.0,Ccdc59_Ccdc59<em1(IMPC)J>_heterozygote_JAX,20.024,20.078,19.971,19.976,19.932,0.0074297947361793,0.124,0.0,0.326,4.0,1264.0,Ccdc59_Ccdc59<em1(IMPC)J>_heterozygote_JAX_male,19.981,20.012,20.007,19.949,19.955,0.008827238335435,0.126,0.0,0.331,4.0,1277.0,Ccdc59_Ccdc59<em1(IMPC)J>_heterozygote_JAX_female,19.915,19.966,19.959,19.966,19.905
Htr1b,Htr1b<tm1.1(KOMP)Vlcg>,heterozygote,JAX,0.0005002501250625,0.083,0.0,0.22,8.0,2541.0,Htr1b_Htr1b<tm1.1(KOMP)Vlcg>_heterozygote_JAX,19.984,19.913,20.002,19.924,20.038,0.0071761299257207,0.125,0.0,0.327,4.0,1264.0,Htr1b_Htr1b<tm1.1(KOMP)Vlcg>_heterozygote_JAX_male,19.936,20.026,20.044,20.02,20.015,0.0056568196103079,0.124,0.0,0.323,4.0,1277.0,Htr1b_Htr1b<tm1.1(KOMP)Vlcg>_heterozygote_JAX_female,20.021,19.958,19.955,20.033,20.011
Snx6,Snx6<em1(IMPC)J>,homozygote,JAX,0.0006253908692933,0.083,0.0,0.229,8.0,2541.0,Snx6_Snx6<em1(IMPC)J>_homozygote_JAX,19.991,20.042,20.037,19.998,19.996,0.0070493454179254,0.125,0.0,0.332,4.0,1264.0,Snx6_Snx6<em1(IMPC)J>_homozygote_JAX_male,20.051,19.9,20.026,20.029,20.031,0.008827238335435,0.125,0.0,0.336,4.0,1277.0,Snx6_Snx6<em1(IMPC)J>_homozygote_JAX_female,19.968,20.017,20.003,20.012,19.984
Vwa8,Vwa8<tm1b(EUCOMM)Wtsi>,homozygote,HMGU,0.0002500625156289,0.083,0.0,0.23,8.0,755.0,Vwa8_Vwa8<tm1b(EUCOMM)Wtsi>_homozygote_HMGU,19.977,20.034,19.956,20.012,20.001,0.0078105316200554,0.125,0.0,0.331,4.0,392.0,Vwa8_Vwa8<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_male,20.016,20.013,19.968,20.056,20.032,0.0080645161290322,0.124,0.0,0.33,4.0,363.0,Vwa8_Vwa8<tm1b(EUCOMM)Wtsi>_homozygote_HMGU_female,19.965,19.928,19.988,20.05,20.04
